Item_ID,Item_Name1,Department__,Major_Dept,Category,Sub_Category
383810034565  ,DOLCE AMORE VANILLA & CHOCOLATE,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810034572  ,DOLCE AMORE VANILLA TARTUFO,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810029943  ,DOLCE AMORE ASSORTED TARTUFO,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810034558  ,DOLCE AMORE RASPBERRY & VANILLA,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810028229  ,DOLCE AMORE RASPBERRY VANILLA,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810027208  ,DOLCE AMORE PISTACHIO TARTUFO,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810034541  ,DOLCE AMORE PISTACHIO TARTUFO,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810027550  ,DOLCE AMORE HAZELNUT TARTUFO,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810026997  ,DOLCE AMORE VANILLA & CHOCOLATE,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810013744  ,BINDI RICOTTA PISTACHIO CUP,54,FROZEN,FROZEN DESSERTS ,NOVELTIES                     
383810013812  ,BINDI COPPA CREME AMARENA,54,FROZEN,FROZEN DESSERTS ,FROZEN DESERT
60581         ,UG HONEY ROASTED PEANUT BUTTER,60,DRIED FRUIT & NUTS,NUTS,NUTS-GROUND
60582         ,UG ALMOND BUTTER,60,DRIED FRUIT & NUTS,NUTS,NUTS-GROUND
61002         ,BELUGA CAVIAR 1 OZ,61,CHEESE,CAVIAR,CAVIAR-BELUGA
61803         ,RUSSIAN OSETRA CAVIAR 1 OZ,61,CHEESE,CAVIAR,CAVIAR-OSETRA
61980         ,GOLDEN OSETRA CAVIAR 1 OZ,61,CHEESE,CAVIAR,CAVIAR-OSETRA
61804         ,RUSSIAN OSETRA CAVIAR 2 OZ,61,CHEESE,CAVIAR,CAVIAR-OSETRA
61806         ,SALMON ROE 2 OZ,61,CHEESE,CAVIAR,CAVIAR-SALMON ROE
61007         ,BELUGA CAVIAR 2 OZ,61,CHEESE,CAVIAR,CAVIAR-BELUGA
61807         ,SALMON ROE 4 OZ,61,CHEESE,CAVIAR,CAVIAR-SALMON ROE
61742         ,SALAME DI PARMA,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-CHUB
61743         ,SALAME DI PARMA W BLACK TRUFFLES,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-CHUB
61196         ,CHEESE PLATTER,61,CHEESE,VALUE ADDED,VALUE ADDED-LARGE PLATTER
61805         ,AMERICAN OSETRA FARMED 1 OZ,61,CHEESE,CAVIAR,CAVIAR-OSETRA
61750         ,EUROPEAN CHEESE PLATTER SM,61,CHEESE,VALUE ADDED,VALUE ADDED-SMALL PLATTER
61201         ,LANGRES,61,CHEESE,BRIE,BRIE-IMPORTED
X61267        ,BRILLAT SAVARIAN,61,CHEESE,BRIE,BRIE-IMPORTED
61762         ,SOMERDALE CHAMPAGNE CHEDDAR BLENDED,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
X61345        ,COLUMBUS GENOA SALAMI,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-CHUB
61798         ,CAMEMBERT DI BUFALA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61553         ,OLD CHATHAM HUDSON VALLEY,61,CHEESE,BRIE,BRIE-DOMESTIC
61846         ,LOX & CHIVES CREAM CHEESE,61,CHEESE,DOMESTIC,DOMESTIC-CREAM
61601         ,FRESH WHITE TRUFFLES,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-TRUFFLE
61602         ,FRESH BLACK TRUFFLE,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-TRUFFLE
61940         ,SM DOMESTIC CHEESE PLATTER\x09,61,CHEESE,VALUE ADDED,VALUE ADDED-SMALL PLATTER
61396         ,STICKY TOFFEE CHEESE,61,CHEESE,ENGLISH,ENGLISH-FLAVORED
61418         ,THREE PIGS MOUSSE DE CANAR,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-PATE
61452         ,RAHMTALER,61,CHEESE,SWISS,SWISS-IMPORTED
61564         ,PECORINO RISERVA GROTTA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61809         ,PADDLEFISH CAVIAR1 OZ,61,CHEESE,CAVIAR,CAVIAR-PADDLEFISH
61812         ,PADDLEFISH CAVIAR 2 OZ,61,CHEESE,CAVIAR,CAVIAR-PADDLEFISH
61988         ,BELLA LUNA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61989         ,BLUEBERRY COBBLER CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61999         ,SCHALLENBERG MOUNTAIN SWISS,61,CHEESE,SWISS,SWISS-IMPORTED
61835         ,HAVARTI W/ HORSERADISH,61,CHEESE,JACK,JACK-DOMESTIC
61357         ,MOLINARI PEPPERONI,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-CHUB
61392         ,MARCONA ALMONDS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-NUTS
61981         ,LE GRUYERE SWISS (AGED 6 MONTHS),61,CHEESE,SWISS,SWISS-IMPORTED
61381         ,CINCO LANZAS,61,CHEESE,SPANISH TYPE,SPANISH TYPE-IMPORTED
61367         ,PRESIDENT MADRIGAL SWISS,61,CHEESE,SWISS,SWISS-IMPORTED
61377         ,BEL GIOIOSO BLUE BERRY ARTIGANO,61,CHEESE,DOMESTIC,DOMESTIC-HARD
61736         ,BELLA VITANO ROSEMARY & OLIVE OIL,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61739         ,BELLA VITANO CHARDONAY,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61738         ,BELLA VITANO WHISKEY,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-DOMESTIC
61589         ,SWISS ALMOND CHEDDAR SPREAD,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-SPREADS
61547         ,PECORINO MAGNIFICO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61695         ,CUBED PRVLNE & SLICED SOPRESSATA,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-SLICED
61542         ,BLACK DIAMOND 5 YR OLD CHEDDAR,61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61800         ,DOLOMITEN KONIG,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61355         ,ROARING 40S BLUE CHEESE,61,CHEESE,BLUE,BLUE IMPORTED
61508         ,STELVIO ITALIAN MT. CHEESE (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61516         ,APPLEWOOD SMKD CHEDDAR (ENGLAND),61,CHEESE,CHEDDAR,CHEDDAR IMPORTED
61585         ,PIAVE FRESCO,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61592         ,SWISS GRANA,61,CHEESE,SWISS,SWISS-HARD
61719         ,UG IMPORTED SHARP PROVOLONE WHITE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61781         ,RED WITCH (SWITZERLAND),61,CHEESE,SWISS,SWISS-IMPORTED
61718         ,UG IMPORTED X SHRP PROVOLONE,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-PROVOLONE
61720         ,UG IMPORTED SALAMINI PROVOLONE,61,CHEESE,PROVOLONE,PROVOLONE-HARD
61517         ,COCONUT BANANA GOUDA (HOLLAND),61,CHEESE,GOUDA,GOUDA-YOUNG
61562         ,UG CUBED PROVOLONE,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61774         ,UBRIACO ALLA BIRRA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61953         ,ALTA BADIA (ITALY),61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61332         ,ROBIOLA,61,CHEESE,ITALIAN TYPE,ITALIAN TYPE-IMPORTED
61361         ,FUURTUFEL (FIRE DEVIL),61,CHEESE,SWISS,SWISS-GRUYERE
61761         ,ORGANIC CREAMERY SWISS CHEESE,61,CHEESE,DOMESTIC,DOMESTIC-EMMENTHAL
61594         ,DATE CAKE W ALMONDS & CHOCOLATE,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-NUTS
61544         ,DATE CAKE W ALMONDS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-MISC
61586         ,FIG CAKE W/ CHOCOLATE & ALMOND,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-MISC
61549         ,CHAMPAGNE GOUDA,61,CHEESE,GOUDA,GOUDA-IMPORTED
61644         ,UG SWISS CUBES,61,CHEESE,VALUE ADDED,VALUE ADDED-CUBES
61198         ,COACH FARM TRUFFLE GOAT CHEESE,61,CHEESE,DOMESTIC,DOMESTIC-GOAT
61767         ,OLD AMSTERDAM GOAT GOUDA,61,CHEESE,GOUDA,GOUDA-IMPORTED
61612         ,SPANISH APRICOT CAKE W ALMONDS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-NUTS
61548         ,2 1/2 YEAR OLD GOUDA,61,CHEESE,GOUDA,GOUDA-IMPORTED
61613         ,SPANISH DATE CAKE W/ WALNUTS,61,CHEESE,ACCOMPANIMENTS,ACCOMPANIMENTS-MISC
61619         ,PRADERA ORIGINALE 12 MONTH,61,CHEESE,GOUDA,GOUDA-IMPORTED
61499         ,SMOKED SPANISH IDIAZABAL,61,CHEESE,SPANISH TYPE,SPANISH TYPE-IMPORTED
61582         ,WISCONSIN YLLW CHDDR AGED 9 YRS,61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61909         ,GOUDA (AGED 6 MONTHS),61,CHEESE,GOUDA,GOUDA-IMPORTED
61861         ,BEECHERS FLAGSHIP (AGED 4 YEARS),61,CHEESE,CHEDDAR,CHEDDAR-DOMESTIC
61393         ,SMOKED SWISS,61,CHEESE,SWISS,SWISS-DOMESTIC
61172         ,THREE PIGS MOUSSE ROYAL,61,CHEESE,CHARCUTTERIE,CHARCUTTERIE-PATE
61211         ,STARNACHAS,61,CHEESE,FRENCH,FRENCH-SOFT RIPENED
